PriceUpdateDate,ItemCode,ItemType,ItemName,ManufactureName,ManufactureCountry,ManufactureItemDescription,UnitQty,Quantity,UnitMeasure,BisWeighted,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,itemStatus,LastUpdateDate,LastUpdateTime
2023/07/06 16:24,7290000346236,1,גן הקסום ורבינה,"תה ויסוצקי  (ישראל)בע""מ",,,"י""ח",0.50,ל 100 גרם,0,1,15.90,31.80,1,1,,
2023/08/21 12:15,7290000346960,1,תה נענע 50 יח,"תה ויסוצקי  (ישראל)בע""מ",,,"י""ח",0.75,ל 100 גרם,0,1,29.90,39.87,0,1,,
2023/06/22 13:54,7290000347738,1,תה ירוק בטעם נענע 25יח,"תה ויסוצקי  (ישראל)בע""מ",,,"י""ח",25,"י""ח",0,1,22.90,0.92,0,1,,
2023/06/22 13:54,7290000347752,1,תה ירוק  25 עם לימונית לואיזה,"תה ויסוצקי  (ישראל)בע""מ",,,"י""ח",0.3750,ל 100 גרם,0,1,22.90,61.07,0,1,,
2023/07/11 17:14,369617,0,כדורי רחוב 150גר,לפ הגבינות של ניצן,,,"י""ח",1.50,ל 100 גרם,0,1,18.90,12.60,0,1,,
2023/05/08 15:59,7290000377209,1,בוטן מטוגן 200 גר,ליימן שליסל,,,"י""ח",2,ל 100 גרם,0,1,7.90,3.95,0,1,,
2022/05/04 13:03,379944,0,"קמח אנג ל 1ק""ג","שלמה א.אנג ל בע""מ",,,"י""ח",1,מארז,0,1,5.90,5.90,0,1,,
2023/07/06 16:24,7290000408316,1,דנונה יוגורט טבעי,"שטראוס גרופ ***בע""מ",,,"י""ח",2,"ל 100 מ""ל",0,1,3.90,1.95,0,1,,
2022/12/22 14:44,7290000408354,1,דנונה קראנצי פצפוצים,"שטראוס גרופ ***בע""מ",,,"י""ח",1.75,"ל 100 מ""ל",0,1,4.80,2.74,0,1,,
2022/02/08 09:46,410014,0,זיכוי אונליין,שונות /שרות,,,"י""ח",1,,0,1,0.01,0.01,0,1,,
2023/08/21 12:15,7290000412481,1,מנקה אסלות 1 ליטר 00,החב  הדרומית לשיווק,,,"י""ח",1,ליטר,0,1,7.50,7.50,1,1,,
2023/08/13 08:54,7290000416021,1,#ממרח שחר 500 חלבי,השחר העולה תעשית ממתקים,,,"י""ח",5,ל 100 גרם,0,1,14.90,2.98,1,1,,
2023/08/13 08:54,7290000416045,1,"ממרח שחר 1  ק""ג חלבי",השחר העולה תעשית ממתקים,,,"י""ח",1,"ק""ג",0,1,23.90,23.90,0,1,,
2023/08/07 15:09,7290000416076,1,צימקאו שוקולד לבישול,השחר העולה תעשית ממתקים,,,"י""ח",4,ל 100 גרם,0,1,10.90,2.73,0,1,,
2023/04/30 17:30,7290000416618,1,"ממרח שחר בד""צ} {400",השחר העולה תעשית ממתקים,,,"י""ח",4,ל 100 גרם,0,1,11.50,2.88,0,1,,
2023/08/07 15:09,7290000416632,1,"ממרח שחר פרווה 1 ק""ג",השחר העולה תעשית ממתקים,,,"י""ח",1,מטר,0,1,22.90,22.90,0,1,,
2022/03/15 12:09,416809,0,ממרח שחר חצי חצי מובחר למריחה 350 חלבי,השחר העולה תעשית ממתקים,,,"י""ח",3.50,ל 100 גרם,0,1,10.90,3.11,0,1,,
2022/03/15 12:08,7290000416854,1,אבקת קקאו 150 גרם השחר,השחר העולה תעשית ממתקים,,,"י""ח",5,ל 100 גרם,0,1,8.90,1.78,0,1,,
2022/08/24 17:14,416922,0,ממרח חלב שחר  350 חלבי,השחר העולה תעשית ממתקים,,,"י""ח",3.50,ל 100 גרם,0,1,10.90,3.11,0,1,,
2023/08/14 16:48,7290000418155,1,טופד  סופר פלוס 16 יח,"שקד תבל בע""מ",,,"י""ח",1,,0,1,5.90,5.90,0,1,,
2023/07/09 13:39,7290000419107,1,קפה טורקי כחול 100 גרם,"ש.שסטוביץ בע""מ",,,"י""ח",1,ל 100 גרם,0,1,7.90,7.90,1,1,,
2023/03/16 02:37,7290000419220,1,קפה טורקי שלשות לנדוור 100*3,"ש.שסטוביץ בע""מ",,,"י""ח",3,ל 100 גרם,0,1,18.90,6.30,0,1,,
2023/06/25 08:10,7290000419893,1,קפה לנדוור לבוקר טחון 200ג,"ש.שסטוביץ בע""מ",,,"י""ח",1,ל 100 גרם,0,1,6.90,6.90,1,1,,
2023/08/21 12:17,7290000419909,1,קפה לנדוור טעם אספרסו 100ג,"ש.שסטוביץ בע""מ",,,"י""ח",1,ל 100 גרם,0,1,6.90,6.90,1,1,,
2023/08/13 08:54,7290000420325,1,פופ סטאר פופקורן  טבעי  500גרם,"דנשר (1963) בע""מ",,,"י""ח",5,ל 100 גרם,0,1,13.90,2.78,1,1,,
2023/08/15 14:06,7290000420332,1,פופ סטאר פופקורן בטעם חמאה 500גר,"דנשר (1963) בע""מ",,,"י""ח",5,ל 100 גרם,0,1,13.90,2.78,1,1,,
2023/08/21 12:15,7290000420417,1,"גלילונית ,50/70 60 יח","דנשר (1963) בע""מ",,,"י""ח",60,"י""ח",0,1,17.90,0.30,0,1,,
2022/01/06 11:00,424339,0,משלוח חינם אונליין,שונות /שרות,,,"י""ח",1,,0,1,0.01,0.01,0,1,,
2023/07/23 17:25,7290000430102,1,"קוביות קרח 2 ק""ג",אייס קיובס בעמ מיסטר אייס,,,"י""ח",2,"ק""ג",0,1,10.90,5.45,0,1,,
2023/06/20 16:33,7290000446547,1,חמאת בוטנים350 גרם BD,"בטר אנד דיפרנט בע""מ",,,"י""ח",3.50,ל 100 גרם,0,1,13.90,3.97,0,1,,
2023/07/06 16:24,7290000446554,1,"חמאת בוטנים טבעי 1ק""ג  BD","בטר אנד דיפרנט בע""מ",,,"י""ח",5.10,ל 100 גרם,0,1,26.90,5.27,0,1,,
2022/09/01 17:28,7290000446851,1,ממרח חלבה עם דבש 350גר.,"בטר אנד דיפרנט בע""מ",,,"י""ח",3.50,ל 100 גרם,0,1,12.90,3.69,0,1,,
2023/08/21 12:15,7290000453019,1,שמרית שקית.,"שטראוס גרופ ***בע""מ",,,"י""ח",0.50,ל 100 גרם,0,1,4.20,8.40,0,1,,
2023/07/17 17:25,7290000453125,1,משפר אפיה.,"שטראוס גרופ ***בע""מ",,,"י""ח",1,ל 100 גרם,0,1,7.40,7.40,0,1,,
2023/07/17 17:54,453385,0,שמרים יבשים פאקא אינסטנט שקית 500גר,"שטראוס גרופ בע""מ",,,"י""ח",5,ל 100 גרם,0,1,14.90,2.98,1,1,,
2023/07/27 12:14,453408,0,בצק פיצה דק ומוכן לאפיה שמרית 415גר,"שטראוס גרופ ***בע""מ",,,"י""ח",4.15,ל 100 גרם,0,1,15.80,3.81,0,1,,
2023/07/10 16:09,453415,0,בצק עלים מצונן ומוכן לאפיה שמרית 300גר,"שטראוס גרופ ***בע""מ",,,"י""ח",3,ל 100 גרם,0,1,14.90,4.97,1,1,,
2023/07/27 12:14,453798,0,שמרים אקטיבים 500גר עלית,"שטראוס גרופ בע""מ",,,"י""ח",5,ל 100 גרם,0,1,12.90,2.58,1,1,,
2023/08/21 12:23,453859,0,נטורינה טעם חמאה שמרית  200גר,"שטראוס גרופ ***בע""מ",,,"י""ח",2,ל 100 גרם,0,1,7.50,3.75,0,1,,
